Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
2.341429949,-8.256773347,-0.075187775,1.501039831,-0.076749292,-0.004351679,0.372867165,1.90E-05,2.505412419
2.349746943,-8.257155205,-0.075097415,1.500775175,-0.077924966,0.004601858,0.343372847,0.002880488,2.50846199
2.358121157,-8.257542936,-0.074996904,1.500491088,-0.072696345,0.001545027,0.313584881,0.005493696,2.471651236
2.366471052,-8.257937519,-0.074916857,1.500174883,-0.074256038,0.002732578,0.297530876,0.00797312,2.534653591
2.37479496,-8.2583292,-0.074829824,1.499849961,-0.067280638,0.009345184,0.330312898,0.010725727,2.857103428
2.38319397,-8.258736717,-0.074698652,1.499462327,-0.068915246,0.009669125,0.333821615,0.013507574,3.052503286
2.39125514,-8.259161277,-0.074532099,1.498996024,-0.062455508,0.02448578,0.369514258,0.016586859,3.410266629
2.399632931,-8.259575304,-0.074388643,1.498588544,-0.05972399,0.017400021,0.264751893,0.018793125,2.926989514
2.408118963,-8.259946833,-0.074193562,1.498081964,-0.051111071,0.02167426,0.257557756,0.02093944,2.974797164
2.416465998,-8.260256932,-0.074003169,1.497563556,-0.043268186,0.024025276,0.259803363,0.023104468,3.082721697
2.425533056,-8.260573147,-0.073740982,1.496953056,-0.043418658,0.022028892,0.227568834,0.025000875,3.011842733
2.433009148,-8.260889702,-0.073464524,1.496401634,-0.038888697,0.027993957,0.250985379,0.02709242,3.251205119
2.441498995,-8.261260245,-0.073146692,1.495831737,-0.038107221,0.028637873,0.211892387,0.028858189,3.127388992
2.450233936,-8.261638903,-0.072776683,1.495323734,-0.038104002,0.031045695,0.220827282,0.030698417,3.289232971
2.458091974,-8.261983616,-0.072259627,1.494827139,-0.032283442,0.031137887,0.208767113,0.032438143,3.298483263
2.466309071,-8.262312531,-0.071623543,1.494292825,-0.032543954,0.032187541,0.227918877,0.034337467,3.524896848
2.474810123,-8.262628956,-0.071020547,1.493792846,-0.0300737,0.033595017,0.245382109,0.036382318,3.738039667
2.483035088,-8.26298094,-0.070303804,1.493291349,-0.028255017,0.032629432,0.200162656,0.03805034,3.568900162
2.491794109,-8.26332475,-0.069481097,1.492814674,-0.027282171,0.027590616,0.028768271,0.038290075,2.587451779
2.499840021,-8.263735177,-0.068627475,1.492377597,-0.022512203,0.031501879,0.071969982,0.038889825,2.85130162
2.508541107,-8.264186817,-0.06773828,1.491991716,-0.023618997,0.032025353,0.037734166,0.039204277,2.676455542
2.51709199,-8.264684847,-0.066709782,1.491692645,-0.029341415,0.035609425,0.062990885,0.039729201,2.87840991
2.524585962,-8.265256177,-0.065620976,1.491415092,-0.031750749,0.031976695,0.05610372,0.040196732,2.878968401
2.533215046,-8.265883106,-0.064509072,1.491224631,-0.030911211,0.034468283,0.069479731,0.040775729,2.986674496
2.541582108,-8.266540702,-0.063289574,1.491150323,-0.041839216,0.030094785,0.138124955,0.041926771,3.504560452
2.549865007,-8.267181057,-0.062005983,1.491060463,-0.045475675,0.033113731,0.217673773,0.043740719,4.090135662
2.558153152,-8.267863564,-0.060688122,1.491005058,-0.048515372,0.027476936,0.237783321,0.045722246,4.342302076
2.566305161,-8.268503141,-0.059388843,1.490968782,-0.05116122,0.032436939,0.278823897,0.048045779,4.730120309
2.574907064,-8.269152623,-0.058017366,1.49100526,-0.051986896,0.033912431,0.271862329,0.050311298,4.829549149
2.583348036,-8.269758488,-0.056662352,1.491014807,-0.046761388,0.031242155,0.230898088,0.052235449,4.686179998
2.591619015,-8.27037745,-0.055309799,1.491032644,-0.042105837,0.033507951,0.192424098,0.053838983,4.538271883
2.59990406,-8.270938925,-0.053980554,1.491104502,-0.042224059,0.033456997,0.181909359,0.055354895,4.569369844
2.608554125,-8.271514254,-0.052674105,1.491177314,-0.038391236,0.032307827,0.189972292,0.056937997,4.695200374
2.616919041,-8.27203803,-0.051417376,1.491372702,-0.035872288,0.03879346,0.25811261,0.059088935,5.206163371
2.624984026,-8.272538367,-0.050139592,1.491508324,-0.036242596,0.039975864,0.253126163,0.06119832,5.305726575
2.633070946,-8.272967981,-0.048979935,1.491679985,-0.028795018,0.036835073,0.233344933,0.063142861,5.276765276
2.641402006,-8.273333078,-0.047884972,1.491871812,-0.023443167,0.043898775,0.318081834,0.065793543,5.901316806
2.649915934,-8.273699376,-0.046744024,1.492046284,-0.024509254,0.042347938,0.372167556,0.068894939,6.407566148
2.658069134,-8.274029649,-0.045724638,1.492270702,-0.015648832,0.054669086,0.411616476,0.072325077,6.798731824
2.666413069,-8.274353963,-0.044756634,1.492500089,-0.010589249,0.052092235,0.353991089,0.075275003,6.621379617
2.674948931,-8.274679288,-0.043806386,1.492748935,-0.005572625,0.046881379,0.311282313,0.077869022,6.510369367
2.683024168,-8.27495659,-0.042944373,1.492999556,0.00755998,0.043066258,0.271140128,0.080128523,6.357445701
2.691311121,-8.275236839,-0.042073079,1.493258317,0.01372201,0.040922764,0.331232514,0.082888794,6.846132661
2.699914932,-8.27549747,-0.041219927,1.493528974,0.02024989,0.0459524,0.364873524,0.085929407,7.193624722
2.707994938,-8.275743102,-0.040392108,1.493791732,0.027236119,0.040804725,0.321170391,0.088605826,7.073061503
