Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle,elevTime
4.367641926,-2.005268749,0.010743976,1.431307365,6.481322576,-0.842003481,-0.392973521,0.095785216,0.105255984,-1.649170134,-0.979051631,0.086555332,-0.112882299,-2.019846666,4.600744009
4.375764847,-1.950686629,0.003841254,1.427696451,6.549854411,-0.828326618,-0.433309759,0.088194713,0.107779317,-1.649031042,-0.910860288,0.302800021,0.016691155,-4.379119762,4.609481812
4.384322882,-1.89673349,-0.003166459,1.424056431,6.474376764,-0.840925572,-0.436802387,0.082259934,0.109180512,-1.649377671,-0.712173531,0.168143312,-0.04159552,-4.224965405,4.61844182
4.392608881,-1.841951876,-0.010108723,1.419901396,6.573793602,-0.833071783,-0.498604168,0.076925505,0.1105235,-1.649353739,-0.640131497,0.161158666,0.002871843,-5.205792288,4.626502991
4.400749922,-1.787454572,-0.016987931,1.415578789,6.53967655,-0.825504934,-0.518712816,0.071494671,0.111120214,-1.650712377,-0.651700035,0.071605613,-0.163036532,-6.746947095,4.634552956
4.409169912,-1.732995533,-0.023819593,1.410840185,6.535084672,-0.819799444,-0.568632569,0.067235334,0.110448877,-1.651112117,-0.5111205,-0.08056043,-0.047968811,-6.847275565,4.6425879
4.417212963,-1.678344867,-0.030686073,1.40607639,6.558079884,-0.82397754,-0.5716554,0.066674297,0.109314852,-1.652040109,-0.067324424,-0.136083039,-0.111359038,-7.126323718,4.651867867
4.425997972,-1.624242938,-0.037571396,1.401187619,6.49223152,-0.826238829,-0.586652482,0.066432004,0.10764259,-1.653891427,-0.029075113,-0.200671424,-0.222158213,-8.643005851,4.659641981
4.434343815,-1.570701849,-0.044341424,1.396009936,6.42493069,-0.812403265,-0.621321958,0.064059749,0.104992715,-1.655210224,-0.284670672,-0.317984928,-0.158255633,-13.37028078,4.668115854
4.4424119,-1.514776143,-0.051273404,1.390713437,6.711084721,-0.831837636,-0.635579894,0.068543737,0.104619046,-1.65746613,0.538078587,-0.044840375,-0.270708762,-13.92212214,4.676148891
4.450949907,-1.461622746,-0.058033074,1.385538427,6.378407603,-0.811160444,-0.621001148,0.07028332,0.102485537,-1.658588686,0.20874997,-0.256021094,-0.134706663,-12.68022624,4.684608936
4.459273815,-1.405949301,-0.065072871,1.37973319,6.680813454,-0.84477565,-0.696628453,0.07346911,0.100963803,-1.659294847,0.382294834,-0.182608065,-0.084739373,-14.08864154,4.692397833
4.467770815,-1.350249594,-0.060787149,1.354634425,6.683964792,0.514286648,-3.011851868,0.069245933,0.097700651,-1.668755278,-0.506781301,-0.39157821,-1.135251641,-15.7407606,4.701195955
4.476203918,-1.295120054,-0.067819781,1.34900706,6.615544743,-0.843915798,-0.67528374,0.074155214,0.095813844,-1.670918308,0.589113809,-0.22641688,-0.259563605,-19,4.709478855
4.48483181,-1.239879754,-0.074933653,1.343167965,6.628836109,-0.853664688,-0.70069136,0.077054408,0.093641327,-1.672662642,0.347903217,-0.260701987,-0.209320145,-19,4.717381001
4.493371964,-1.184561256,-0.082133515,1.337290317,6.638219743,-0.8639834,-0.705317761,0.082416991,0.089708313,-1.674712979,0.643510031,-0.471961704,-0.246040402,-19,4.725622892
4.501756907,-1.129156236,-0.089336295,1.331928726,6.648602371,-0.864333574,-0.643391025,0.089067304,0.089057907,-1.676907982,0.798037454,-0.078048735,-0.263400395,-19,4.734735966
4.509613991,-1.073569284,-0.096626809,1.326190119,6.670434225,-0.874861727,-0.688632772,0.093532619,0.088266769,-1.679395631,0.535837829,-0.094936527,-0.298517827,-19,4.74298501
4.518036842,-1.01190618,-0.115260847,1.331903274,7.399572492,-2.236084583,0.685578542,0.105927074,0.085318692,-1.681696451,1.487334653,-0.353769289,-0.276098478,-19,4.752328873
4.526706934,-0.95656471,-0.143873564,1.321372742,6.640976403,-3.433525995,-1.263663822,0.149458031,-0.151092669,1.657433902,5.223714856,-28.36936325,400.6956424,-19,4.759487867
4.534173965,-0.901410999,-0.151737603,1.316808438,6.618445318,-0.9436847,-0.547716468,0.163358966,-0.146598793,1.663456146,1.668112137,0.539265092,0.722669349,2.852833937,4.767622948
4.54223299,-0.845690014,-0.159486646,1.311552533,6.686518162,-0.929885136,-0.630708562,0.169371809,-0.144239073,1.665692207,0.721541195,0.283166478,0.268327255,-2.748685063,4.776347876
4.55051589,-0.789854294,-0.167506029,1.306651337,6.700286461,-0.962326008,-0.588143489,0.176162348,-0.14229395,1.667580023,0.814864671,0.233414708,0.226537943,-19,4.785349846
4.559253931,-0.733864983,-0.175685362,1.301967759,6.718717303,-0.981519953,-0.562029467,0.181724016,-0.13925001,1.669221847,0.667400169,0.365272799,0.19701887,-19,4.793018818
4.567586899,-0.677712437,-0.18385072,1.297462889,6.73830554,-0.979842913,-0.540584394,0.18545496,-0.137007974,1.670464142,0.447713223,0.269044259,0.149075391,-19,4.801220894
4.575651884,-0.62140991,-0.192101075,1.293192309,6.756303212,-0.990042615,-0.51246958,0.188322388,-0.134814144,1.67149685,0.344091449,0.263259655,0.123924911,19,4.809864998
4.584011793,-0.564983314,-0.200617108,1.289307393,6.771191486,-1.021923911,-0.466189895,0.191051894,-0.132386218,1.672257991,0.327540636,0.291351126,0.091336981,-1.037287505,4.817685843
4.592988014,-0.508627301,-0.209263703,1.285534145,6.762721576,-1.037591406,-0.452789707,0.192986128,-0.129836753,1.673302019,0.232108136,0.305935737,0.125283382,-2.128394031,4.826577902
4.600457907,-0.452049696,-0.218012489,1.282136471,6.789312622,-1.049854303,-0.407720896,0.19394712,-0.127771616,1.673948907,0.115319045,0.247816548,0.077626522,0.979684039,4.835539818
4.609165907,-0.39525534,-0.226785945,1.278862817,6.815322654,-1.052814805,-0.392838547,0.193181269,-0.126412176,1.673898486,-0.091902109,0.163132765,-0.006050567,19,4.843379021
4.617575884,-0.33856753,-0.235855103,1.275938582,6.802537226,-1.088298901,-0.350908222,0.192663657,-0.123508134,1.674688227,-0.062113418,0.34848503,0.094769018,6.259644008,4.85126996
4.626066923,-0.281641942,-0.245041414,1.273296004,6.831070621,-1.102357333,-0.317109349,0.191564481,-0.121611752,1.674760021,-0.131901222,0.227565808,0.008615222,6.239509145,4.859696865
4.634100914,-0.224531853,-0.254167277,1.270714969,6.853210701,-1.095103578,-0.309724219,0.189410274,-0.120135747,1.6747308,-0.258504833,0.177120685,-0.003506518,4.272045945,4.867718935
4.642229795,-0.167407062,-0.263436077,1.268347435,6.854974864,-1.112255972,-0.284103998,0.187345522,-0.118897468,1.675059566,-0.247770155,0.148593376,0.039451965,7.675695694,4.876317978
4.651211023,-0.110249138,-0.272724284,1.266033544,6.858950878,-1.114584885,-0.277666919,0.185182857,-0.119627717,1.675817878,-0.259519883,-0.087629796,0.090997419,-19,4.884714842
4.659205914,-0.052911482,-0.282211173,1.263901825,6.880518737,-1.138426634,-0.255806252,0.182067962,-0.118862248,1.676366718,-0.373787379,0.091856215,0.065860848,19,4.893565893
4.667680025,0.004526731,-0.291673771,1.261384861,6.892585505,-1.1355118,-0.302035786,0.175449932,-0.118731956,1.677119215,-0.794163636,0.015635066,0.090299607,0.686132299,4.901203871
4.67570281,0.062080668,-0.301282241,1.25934884,6.906472533,-1.153016431,-0.244322503,0.168876622,-0.118351366,1.677274859,-0.788797149,0.045670745,0.018677277,-0.44638676,4.909443855
