Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
2.841887951,-0.875077093,-0.060434624,1.462166876,0.038404316,-0.009141494,-0.006573354,0.119136662,0.018453717,1.545054293,-0.058041742,0.008603865,0.017240323,-8.621098616
2.850768089,-0.874694474,-0.060517988,1.462118144,0.045914222,-0.010003733,-0.005847853,0.118654901,0.018482667,1.545144489,-0.057811328,0.003474017,0.010823538,-8.636133572
2.858628988,-0.874298817,-0.060597815,1.462089626,0.047478869,-0.009579204,-0.003422102,0.118270723,0.018450183,1.545339332,-0.046101422,-0.003898039,0.023381158,-8.640357286
2.866899014,-0.873946052,-0.060733813,1.462071809,0.042331804,-0.016319718,-0.002138118,0.117805003,0.018411332,1.5457661,-0.055886394,-0.004662096,0.051212072,-8.652651947
2.874844074,-0.873548234,-0.060863063,1.462001497,0.047738112,-0.015510033,-0.008437371,0.117090045,0.018291984,1.54615507,-0.085794967,-0.014321851,0.046676462,-8.66336824
2.883444071,-0.87315619,-0.061006634,1.461948075,0.047045344,-0.01722855,-0.006410674,0.116383083,0.01800675,1.546583189,-0.084835381,-0.03422804,0.05137423,-8.669698494
2.89151001,-0.872793819,-0.061160333,1.461903743,0.043484445,-0.01844385,-0.005319862,0.115745607,0.017791286,1.54721071,-0.076497211,-0.02585562,0.075302525,-8.671778452
2.900403976,-0.872395757,-0.0613106,1.461857647,0.047767448,-0.018032058,-0.005531466,0.115142904,0.017524727,1.547823095,-0.072324282,-0.031987195,0.07348621,-8.683825114
2.908900976,-0.872016404,-0.061458578,1.461789601,0.045522449,-0.017757309,-0.008165497,0.114328363,0.017285798,1.54848569,-0.09774497,-0.028671386,0.079511457,-8.684916127
2.916368961,-0.871705959,-0.061556924,1.461788874,0.037253351,-0.011801572,-8.73E-05,0.113746634,0.01780833,1.549402469,-0.069807486,0.06270377,0.11001341,-8.68813536
2.925312996,-0.871379965,-0.061730579,1.461751748,0.039119331,-0.020838606,-0.004455087,0.113237804,0.017454073,1.55015801,-0.061059612,-0.042510831,0.090664912,-8.689559716
2.932984114,-0.871075172,-0.061895738,1.461744287,0.036575085,-0.019819082,-0.000895299,0.112988093,0.017083013,1.550846048,-0.029965306,-0.044527201,0.082564619,-8.694445934
2.941509008,-0.870836321,-0.062083622,1.461747215,0.028662186,-0.022546083,0.000351324,0.112846804,0.016694357,1.55160718,-0.016954612,-0.04663873,0.091335794,-8.697046377
2.949748039,-0.870574102,-0.06223071,1.461781606,0.031466299,-0.017650503,0.004126892,0.112936861,0.016459689,1.552207212,0.010806811,-0.0281601,0.072003837,-8.700046103
2.958053112,-0.870341189,-0.062385609,1.461796346,0.027949446,-0.01858789,0.001768814,0.112889641,0.016100018,1.552816532,-0.005666399,-0.043160601,0.073118442,-8.697728764
2.966403961,-0.870154306,-0.062535888,1.461827229,0.022426063,-0.018033494,0.003705955,0.112985604,0.015729698,1.553315678,0.011515501,-0.044438324,0.059897513,-8.700488705
2.974827051,-0.869951452,-0.062657522,1.461859723,0.024342423,-0.014596109,0.003899274,0.112955393,0.015517251,1.553951414,-0.003625215,-0.025493652,0.076288313,-8.701975386
2.984296083,-0.869757934,-0.062796357,1.461901514,0.023222189,-0.016660165,0.005014912,0.113142869,0.015380669,1.554478845,0.022497069,-0.016389908,0.063291759,-8.693387694
2.991642952,-0.869610942,-0.062928972,1.46193894,0.017639029,-0.015913832,0.004491131,0.113150309,0.015312934,1.554823219,0.000892833,-0.008128154,0.041324846,-8.688406009
3.000369072,-0.869429129,-0.063020553,1.461986521,0.021817523,-0.010989706,0.005709716,0.113170262,0.015317393,1.555151485,0.002394305,0.000535067,0.039391874,-8.690478327
3.008160114,-0.869277801,-0.063117788,1.462036973,0.018159333,-0.011668197,0.006054274,0.1132178,0.015407222,1.555357976,0.00570455,0.010779484,0.024778968,-8.683965788
3.01670599,-0.86917122,-0.063228464,1.46211084,0.012789817,-0.013281131,0.008864058,0.11323194,0.015500046,1.555483519,0.001696845,0.011138903,0.015065184,-8.677777523
3.025199175,-0.869021572,-0.063306647,1.462189582,0.017957698,-0.009381932,0.009448994,0.113274895,0.015540393,1.55559046,0.005154557,0.004841596,0.012832906,-8.679091253
3.034006119,-0.868909557,-0.063393757,1.462269726,0.013441769,-0.010453174,0.009617382,0.113410326,0.015586805,1.555701447,0.016251762,0.005569473,0.013318468,-8.671825728
3.041920185,-0.868839465,-0.063473886,1.462350413,0.008411041,-0.00961554,0.009682356,0.113539131,0.015578446,1.555693557,0.015456616,-0.001003055,-0.000946868,-8.673753941
3.049688101,-0.868720298,-0.063476607,1.462451384,0.014300057,-0.000326515,0.01211655,0.113708014,0.015931444,1.55575072,0.020265956,0.042359688,0.00685963,-8.68077736
3.058161974,-0.868634094,-0.063518074,1.462525198,0.010344553,-0.0049761,0.00885766,0.11390131,0.015878231,1.555872281,0.023195519,-0.006385494,0.014587247,-8.675657181
3.066522121,-0.868597992,-0.063536652,1.462608368,0.004332218,-0.002229284,0.00998039,0.114079524,0.015808904,1.555926173,0.021385699,-0.00831931,0.006467039,-8.684396785
3.075736046,-0.86850663,-0.063544642,1.462677017,0.010963429,-0.000958813,0.008237903,0.114310194,0.01569664,1.556062335,0.027680349,-0.013471627,0.016339497,-8.693578355
3.083553076,-0.868445626,-0.063562341,1.46275361,0.007320421,-0.0021239,0.009191155,0.114609594,0.015557444,1.556248205,0.035927969,-0.016703543,0.02230442,-8.689401614
3.092059135,-0.868422935,-0.063573333,1.462826821,0.00272296,-0.001319049,0.008785353,0.114892097,0.015393183,1.556311645,0.033900396,-0.019711267,0.007612791,-8.704111118
3.099827051,-0.868346987,-0.063566737,1.462894482,0.009113763,0.000791485,0.008119242,0.115238021,0.015142545,1.556574454,0.041510914,-0.030076595,0.03153701,-8.703736458
3.108643055,-0.868283778,-0.063587493,1.462936827,0.007585041,-0.002490609,0.005081414,0.115489905,0.014874499,1.556750156,0.030226023,-0.032165537,0.021084265,-8.712163223
3.117351055,-0.868252881,-0.063594195,1.462996461,0.003707722,-0.000804333,0.007156163,0.11582998,0.014618752,1.556896338,0.040808987,-0.030689583,0.017541821,-8.716132587
3.125794172,-0.868166304,-0.063585754,1.463032173,0.010389163,0.001012946,0.004285346,0.116002917,0.014271701,1.557029508,0.020752449,-0.041646114,0.015980474,-8.7255737
3.134516001,-0.868106429,-0.063593836,1.463059154,0.007185022,-0.000969794,0.003237799,0.116125756,0.014000184,1.557102378,0.014740686,-0.032582044,0.008744317,-8.7279732
3.141833067,-0.868072901,-0.063605009,1.463075326,0.004023355,-0.001340833,0.001940567,0.116180176,0.013733127,1.557117873,0.006530399,-0.032046848,0.001859484,-8.735358515
3.150417089,-0.86799265,-0.063592701,1.463103769,0.009630183,0.001476998,0.003413199,0.116300228,0.013593715,1.557099849,0.014406307,-0.016729413,-0.002162897,-8.747773098
3.158800125,-0.867942144,-0.063614396,1.46312505,0.006060682,-0.002603393,0.002553759,0.116382274,0.013417041,1.557051665,0.009845466,-0.021200986,-0.005782114,-8.749781046
