Time,xPos,yPos,zPos,xVel,yVel,zVel,ptich,roll,yaw,pitchVel,rollVel,yawVel,elevAngle
2.016403913,-1.475322562,-0.107449832,1.420086377,0.047424261,0.016318271,0.003890411,0.072349339,0.091205817,1.555486076,-0.086085168,-0.026528887,0.125050456,-3.132156091
2.025066853,-1.474943582,-0.107352301,1.420141426,0.045477538,0.011703731,0.006605869,0.071943212,0.091027671,1.556483566,-0.04873525,-0.021377586,0.119698828,-3.13531167
2.03429389,-1.474572155,-0.107239037,1.420183127,0.044571275,0.0135916,0.005004178,0.071498581,0.09044562,1.557464209,-0.053355715,-0.069846055,0.11767711,-3.13441126
2.041635036,-1.474236589,-0.107141161,1.420270722,0.040267921,0.011745184,0.010511334,0.071118498,0.089891162,1.558304109,-0.045609904,-0.066534965,0.100788098,-3.133609065
2.049963951,-1.473878294,-0.1070485,1.420348725,0.042995394,0.011119326,0.009360358,0.070750326,0.089125234,1.559152969,-0.044180689,-0.091911356,0.101863168,-3.139723626
2.058197021,-1.473510126,-0.106980995,1.420457998,0.044180155,0.008100595,0.013112826,0.070633626,0.088272193,1.559946243,-0.014004016,-0.10236489,0.095192842,-3.140643538
2.067456007,-1.473177358,-0.106913039,1.420578494,0.039932216,0.008154704,0.014459504,0.070619333,0.087344131,1.560602647,-0.001715181,-0.111367541,0.078768524,-3.141762768
2.07514286,-1.472821448,-0.10683936,1.420695173,0.042709214,0.008841484,0.014001395,0.070585167,0.086358793,1.561349027,-0.004099856,-0.118240523,0.089565512,-3.145810744
2.083689928,-1.472433721,-0.106739782,1.42083672,0.046527198,0.011949326,0.016985727,0.070556065,0.085466695,1.56200503,-0.003492291,-0.107051772,0.078720451,-3.151408765
2.091697931,-1.472074638,-0.1066672,1.420957303,0.043089938,0.008709815,0.014469956,0.07039783,0.084477969,1.562805828,-0.018988131,-0.118647099,0.096095776,-3.147530651
2.100730896,-1.471689445,-0.106593956,1.421093197,0.046223184,0.008789349,0.016307251,0.070295337,0.083759869,1.56349089,-0.012299157,-0.086172034,0.082207405,-3.149199296
2.108228922,-1.471304912,-0.106539634,1.421217864,0.046143993,0.006518558,0.014960096,0.070140266,0.083010512,1.564169342,-0.018608502,-0.089922845,0.081414238,-3.165508847
2.117069006,-1.470930698,-0.106500474,1.421313688,0.044905606,0.004699218,0.011498809,0.069742181,0.082305745,1.564839748,-0.047770258,-0.08457204,0.080448731,-3.168870586
2.125941038,-1.470542496,-0.106437994,1.42139964,0.046584249,0.007497692,0.01031427,0.069032141,0.081692916,1.565525446,-0.085204765,-0.073539453,0.082283753,-3.165807405
